Packet Log - Server Side
Timestamp | Packet # | Action | Checksum | Status
Packet Log - Client Side
Timestamp | Packet # | Action | Checksum | Status
1740360556.322135 | 0 | Received | 26 | Success
1740360556.774703 | 1 | Sent | 180 | Success
1740360556.778356 | 1 | Received | 180 | Success
1740360556.935555 | 0 | Sent | 31 | Success
1740360556.942486 | 0 | Received | 31 | Success
1740360557.04212 | 1 | Sent | 45 | Success
1740360557.0470982 | 1 | Received | 45 | Success
1740360557.246627 | 0 | Sent | 242 | Success
1740360557.2502642 | 0 | Received | 242 | Success
1740360557.52724 | 1 | Sent | 156 | Success
1740360557.533209 | 1 | Received | 156 | Success
1740360558.025522 | 0 | Sent | 97 | Success
1740360558.031096 | 0 | Received | 97 | Success
1740360558.2697642 | 1 | Sent | 155 | Success
1740360558.27475 | 1 | Received | 155 | Success
1740360558.376097 | 0 | Sent | 146 | Success
1740360558.3817348 | 0 | Received | 146 | Success
1740360558.4851 | 1 | Sent | 229 | Success
1740360558.490196 | 1 | Received | 229 | Success
1740360558.6799629 | 0 | Sent | 171 | Success
1740360558.6852531 | 0 | Received | 171 | Success
1740360558.834346 | 1 | Sent | 210 | Success
1740360558.838798 | 1 | Received | 210 | Success
1740360558.969588 | 0 | Sent | 21 | Success
1740360558.97392 | 0 | Received | 21 | Success
1740360559.340095 | 1 | Sent | 227 | Success
1740360559.345803 | 1 | Received | 227 | Success
1740360559.606302 | 0 | Sent | 61 | Success
1740360559.611611 | 0 | Received | 61 | Success
1740360559.649589 | 1 | Sent | 61 | Success
1740360559.654022 | 1 | Received | 61 | Success
1740360560.113472 | 0 | Sent | 49 | Success
1740360560.1183019 | 0 | Received | 49 | Success
1740360560.375467 | 1 | Sent | 19 | Success
1740360560.38038 | 1 | Received | 19 | Success
1740360560.5781178 | 0 | Sent | 213 | Success
1740360560.583837 | 0 | Received | 213 | Success
1740360560.982929 | 1 | Sent | 228 | Success
1740360560.987156 | 1 | Received | 228 | Success
1740360561.380492 | 0 | Sent | 3 | Success
1740360561.386536 | 0 | Received | 3 | Success
1740360561.409614 | 1 | Sent | 18 | Success
1740360561.414166 | 1 | Received | 18 | Success
1740360561.736139 | 0 | Sent | 82 | Success
1740360561.741142 | 0 | Received | 82 | Success
1740360562.041764 | 1 | Sent | 35 | Success
1740360562.047041 | 1 | Received | 35 | Success
1740360562.122529 | 0 | Sent | 70 | Success
1740360562.124634 | 0 | Received | 70 | Success
1740360562.5124428 | 1 | Sent | 69 | Success
1740360562.5181608 | 1 | Received | 69 | Success
1740360562.636201 | 0 | Sent | 140 | Success
1740360562.641684 | 0 | Received | 140 | Success
1740360562.782754 | 1 | Sent | 13 | Success
1740360562.788661 | 1 | Received | 13 | Success
1740360562.892291 | 0 | Sent | 42 | Success
1740360562.8976588 | 0 | Received | 42 | Success
1740360563.308384 | 1 | Sent | 210 | Success
1740360563.313596 | 1 | Received | 210 | Success
1740360563.730154 | 0 | Sent | 71 | Success
1740360563.735253 | 0 | Received | 71 | Success
1740360563.828053 | 1 | Sent | 58 | Success
1740360563.8332438 | 1 | Received | 58 | Success
1740360564.1506681 | 0 | Sent | 212 | Success
1740360564.155802 | 0 | Received | 212 | Success
1740360564.280797 | 1 | Sent | 92 | Success
1740360564.284534 | 1 | Received | 92 | Success
1740360564.769728 | 0 | Sent | 100 | Success
1740360564.774973 | 0 | Received | 100 | Success
1740360564.865723 | 1 | Sent | 254 | Success
1740360564.872643 | 1 | Received | 254 | Success
1740360565.2200692 | 0 | Sent | 172 | Success
1740360565.226169 | 0 | Received | 172 | Success
1740360565.432839 | 1 | Sent | 195 | Success
1740360565.438119 | 1 | Received | 195 | Success
1740360565.711118 | 0 | Sent | 156 | Success
1740360565.7167518 | 0 | Received | 156 | Success
1740360566.202373 | 1 | Sent | 168 | Success
1740360566.207277 | 1 | Received | 168 | Success
1740360566.504599 | 0 | Sent | 120 | Success
1740360566.509857 | 0 | Received | 120 | Success
1740360566.7810209 | 1 | Sent | 92 | Success
1740360566.7861629 | 1 | Received | 92 | Success
1740360567.06372 | 0 | Sent | 77 | Success
1740360567.069087 | 0 | Received | 77 | Success
1740360567.085566 | 1 | Sent | 49 | Success
1740360567.0899851 | 1 | Received | 49 | Success
1740360567.2933812 | 0 | Sent | 75 | Success
1740360567.297766 | 0 | Received | 75 | Success
1740360567.511637 | 1 | Sent | 56 | Success
1740360567.516059 | 1 | Received | 56 | Success
1740360567.533459 | 0 | Sent | 138 | Success
1740360567.53715 | 0 | Received | 138 | Success
1740360567.817154 | 1 | Sent | 20 | Success
1740360567.8227499 | 1 | Received | 20 | Success
1740360567.876085 | 0 | Sent | 79 | Success
1740360567.8798678 | 0 | Received | 79 | Success
1740360568.214626 | 1 | Sent | 45 | Success
1740360568.2228322 | 1 | Received | 45 | Success
1740360568.679133 | 0 | Sent | 197 | Success
1740360568.685229 | 0 | Received | 197 | Success
1740360569.141473 | 1 | Sent | 51 | Success
1740360569.146933 | 1 | Received | 51 | Success
1740360569.460684 | 0 | Sent | 217 | Success
1740360569.4667678 | 0 | Received | 217 | Success
1740360569.906345 | 1 | Sent | 155 | Success
1740360569.911341 | 1 | Received | 155 | Success
1740360570.072881 | 0 | Sent | 15 | Success
1740360570.0780559 | 0 | Received | 15 | Success
1740360570.368735 | 1 | Sent | 21 | Success
1740360570.3747158 | 1 | Received | 21 | Success
1740360570.583842 | 0 | Sent | 178 | Success
1740360570.588947 | 0 | Received | 178 | Success
1740360570.860102 | 1 | Sent | 93 | Success
1740360570.862823 | 1 | Received | 93 | Success
1740360571.066085 | 0 | Sent | 134 | Success
1740360571.070766 | 0 | Received | 134 | Success
1740360571.530944 | 1 | Sent | 63 | Success
1740360571.536124 | 1 | Received | 63 | Success
1740360571.812534 | 0 | Sent | 220 | Success
1740360571.818014 | 0 | Received | 220 | Success
1740360572.151159 | 1 | Sent | 164 | Success
1740360572.1530318 | 1 | Received | 164 | Success
1740360572.5530791 | 0 | Sent | 40 | Success
1740360572.558375 | 0 | Received | 40 | Success
1740360572.983805 | 1 | Sent | 180 | Success
1740360572.9913878 | 1 | Received | 180 | Success
1740360573.482099 | 0 | Sent | 228 | Success
1740360573.48898 | 0 | Received | 228 | Success
1740360573.769301 | 1 | Sent | 37 | Success
1740360573.774411 | 1 | Received | 37 | Success
1740360573.901224 | 0 | Sent | 116 | Success
1740360573.9057689 | 0 | Received | 116 | Success
1740360574.210596 | 1 | Sent | 68 | Success
1740360574.216676 | 1 | Received | 68 | Success
